UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,ASD,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
B067,BGEM-0072-S,1154.0,4.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,74.1487219920831,9.347419759957779,63.359652093331,170.827850836161,215.373142792699
B068,BGEM-0073-S,1227.0,27.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,66.470698894922,9.144706646703169,87.96766728874908,159.904272921017,202.359237749866
B071,BGEM-0077-S,1088.0,38.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,70.4850967579047,7.11757551415711,61.4066350143296,162.917673725194,201.636243025265
B072,BGEM-0078-N,1206.0,6.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,69.8225262368299,6.95540502355343,76.2495648147405,182.88145405287202,217.903624328806
B073,BGEM-0079-S,1048.0,48.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,74.577444093955,8.49602468428843,64.1408589249316,170.074500635117,211.396671807389
B074,BGEM-0080-S,1040.0,40.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,64.8337599605019,8.333854193684749,75.46835798313991,176.85465244451697,213.92715334349603
B075,BGEM-0081-S,1308.0,8.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,76.1364335553075,7.56354436331725,87.96766728874908,170.827850836161,232.00202145854198
B076,BGEM-0082-S,1045.0,45.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,68.7312336138832,8.6176525522412,46.954308629719,127.510214276105,163.679019983668
B077,BGEM-0083-S,1186.0,36.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,79.25441247801251,8.739280420193959,87.96766728874908,180.621403449739,217.542126966505
B078,BGEM-0085-N,1089.0,39.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,71.0697178059119,6.87431977825158,88.3582707045493,163.29434882571698,197.659772039954
B079,BGEM-0086-N,1218.0,18.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,75.9805346091722,7.40137387271356,89.9206843677505,178.361352846606,216.457634879602
B080,BGEM-0087-N,1119.0,19.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,65.02863364317099,7.4824591180154005,97.34214926795592,185.518179756528,223.32608476332
B081,BGEM-0088-N,1245.0,45.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,81.2421240412369,9.06362140140133,82.10861605174479,166.307749629894,199.82875621376
B082,BGEM-0089-N,1239.0,39.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,77.34465038785571,7.7257148539209295,60.625428182728996,155.007496614228,190.06832743163503
B083,BGEM-0090-N,1340.0,40.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,78.55286722040391,8.00951321247738,87.96766728874908,162.540998624672,229.11004256013402
B085,BGEM-0095-S,1148.0,48.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,74.6943683035564,8.25276894838291,75.46835798313991,164.047699026761,201.274745662964
B086,BGEM-0097-S,1343.0,43.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,70.8748441232428,8.941993533448569,68.0468930829345,162.16432352415,196.575279953052
B087,BGEM-0099-S,1050.0,50.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,62.690149451142204,7.685172231270009,72.3435306567376,139.940492593339,176.3314276642
B090,BGEM-0107-N,1248.0,48.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,72.0440862192572,8.41493943898659,72.3435306567376,170.074500635117,207.420200822079
B091,BGEM-0108-S,1333.0,33.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,78.0851703819981,8.41493943898659,79.37439214114279,170.827850836161,210.673677082787
B092,BGEM-0110-N,1273.0,23.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,73.2133283152716,7.4824591180154005,76.2495648147405,175.72462714294997,220.07260850261102
B093,BGEM-0111-S,1132.0,32.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,72.00511148272341,7.158118136808031,64.53146234073189,163.29434882571698,207.420200822079
B094,BGEM-0112-S,1099.0,49.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,72.16101042885859,7.76625747657185,76.2495648147405,155.007496614228,200.91324830066299
B095,BGEM-0113-S,1029.0,29.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,73.25230305180541,6.87431977825158,66.8750828355336,162.540998624672,207.78169818438
B096,BGEM-0114-S,1046.0,46.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,70.9527935963105,7.76625747657185,70.3905135777362,158.77424761945,199.10576148915797
B097,BGEM-0115-S,1185.0,35.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,72.1999851653924,7.7257148539209295,70.7811169935365,166.307749629894,212.11966653199102
B098,BGEM-0116-S,1179.0,29.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,70.835869386709,7.36083125006264,73.1247374883382,159.527597820494,202.359237749866
B099,BGEM-0117-S,1087.0,37.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,69.7056020272285,7.56354436331725,66.093876003933,165.177724328328,209.589184995885
B100,BGEM-0118-S,1037.0,37.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,68.8481578234846,7.2392033821098805,59.8442213511285,156.137521915794,199.82875621376
B102,BGEM-0122-N,1211.0,11.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,69.3548293984242,7.76625747657185,77.030771646341,164.424374127283,198.382766764556
B103,BGEM-0123-N,1085.0,35.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,65.1455578527724,7.44191649536448,90.7018911993511,178.361352846606,220.434105864912
B104,BGEM-0124-N,1116.0,16.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,67.6399409909364,7.077032891506191,98.51395951535679,190.038280962794,229.11004256013402
B105,BGEM-0125-N,1172.0,22.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,65.4183810085091,8.333854193684749,90.3112877835508,177.608002645561,220.07260850261102
B107,BGEM-0129-N,1135.0,35.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,72.2389599019263,9.144706646703169,70.3905135777362,151.617420709528,191.15281951853802
B109,BGEM-0131-N,1110.0,10.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,70.212273602168,7.2392033821098805,68.4374964987348,165.931074529372,199.467258851459
B110,BGEM-0133-S,1323.0,23.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,68.5753346677479,8.739280420193959,82.8898228833453,173.841251640339,219.34961377801002
B111,BGEM-0134-S,1071.0,21.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,76.33130723797659,9.955559099721599,95.77973560475479,191.168306264361,228.74854519783298
B112,BGEM-0136-S,1034.0,34.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,60.9752610436545,8.860908288146721,76.6401682305408,146.720644402739,186.453353808626
