,PLOT ID,rows,ranges,Block,Rep,Group,Trt,year,genotype,note,Calibration,ASD,leaf_length,leaf_width,ear_height,flag_leaf,plant_height,Row,Ran.,Leaf Length 1,Leaf Width 1,Leaf Length 2,Leaf Width 2,Ear Height 1,Flag Leaf Height 1,Plant Height 1,Ear Height 2,Flag Leaf Height 2,Plant Height 2,Yang Field Notes,Inbred or Hybrid?,Data missing?
66,1067,17,2,1,1,Inbred,HN,2022,BGEM-0011-S,BGEM_Tall_late,0.0,2.0,81.55,8.15,75.5,175.0,221.0,17,2,83.5,8.4,79.6,7.9,71.0,180.0,232.0,80.0,170.0,210.0,,Inbred,
67,1068,18,2,1,1,Inbred,HN,2022,BGEM-0038-N,BGEM_Tall_late,0.0,2.0,70.2,8.05,77.5,157.5,196.5,18,2,71.2,7.6,69.2,8.5,82.0,155.0,191.0,73.0,160.0,202.0,,Inbred,
68,1069,19,2,1,1,Inbred,HN,2022,BGEM-0307-S,BGEM_Tall_late,0.0,1.0,73.95,8.2,74.0,174.0,226.0,19,2,74.0,8.0,73.9,8.4,78.0,180.0,231.0,70.0,168.0,221.0,,Inbred,
69,1070,20,2,1,1,Inbred,HN,2022,BGEM-0252-S,BGEM_Tall_late,0.0,1.0,86.2,8.1,81.5,189.5,232.0,20,2,83.4,9.1,89.0,7.1,86.0,188.0,230.0,77.0,191.0,234.0,,Inbred,
70,1071,21,2,1,1,Inbred,HN,2022,BGEM-0134-S,BGEM_Tall_late,0.0,2.0,77.5,10.399999999999999,100.0,198.0,235.5,21,2,77.0,10.6,78.0,10.2,100.0,200.0,239.0,100.0,196.0,232.0,,Inbred,
71,1072,22,2,1,1,Inbred,HN,2022,BGEM-0293-N,BGEM_Tall_late,0.0,1.0,69.35,6.7,76.0,179.0,206.5,22,2,68.7,6.4,70.0,7.0,80.0,178.0,209.0,72.0,180.0,204.0,,Inbred,
72,1073,23,2,1,1,Inbred,HN,2022,B73,BGEM_Tall_late,0.0,2.0,80.25,8.8,91.5,175.5,221.5,23,2,80.5,8.9,80.0,8.7,95.0,180.0,223.0,88.0,171.0,220.0,,Inbred,
73,1074,24,2,1,1,Inbred,HN,2022,BGEM-0328-S,BGEM_Tall_late,0.0,1.0,70.35,8.2,122.0,206.5,243.0,24,2,69.7,7.8,71.0,8.6,122.0,208.0,239.0,,205.0,247.0,,Inbred,
74,1075,25,2,1,1,Inbred,HN,2022,BGEM-0027-S,BGEM_Tall_late,0.0,2.0,75.1,9.6,93.0,194.0,231.5,25,2,73.2,9.5,77.0,9.7,93.0,196.0,232.0,93.0,192.0,231.0,,Inbred,
75,1076,26,2,1,1,Inbred,HN,2022,BGEM-0314-S,BGEM_Short_early,0.0,1.0,76.35,9.45,70.0,168.5,210.0,26,2,75.0,9.6,77.7,9.3,72.0,168.0,209.0,68.0,169.0,211.0,,Inbred,
76,1077,27,2,1,1,Inbred,HN,2022,BGEM-0068-S,BGEM_Short_early,0.0,1.0,77.45,8.850000000000001,70.0,161.0,197.5,27,2,79.4,8.3,75.5,9.4,68.0,160.0,200.0,72.0,162.0,195.0,,Inbred,
77,1078,28,2,1,1,Inbred,HN,2022,BGEM-0010-S,BGEM_Short_early,0.0,2.0,74.1,10.25,79.0,183.0,230.5,28,2,73.2,10.5,75.0,10.0,80.0,186.0,231.0,78.0,180.0,230.0,,Inbred,
78,1079,29,2,1,1,Inbred,HN,2022,BGEM-0255-S,BGEM_Short_early,0.0,2.0,70.0,8.35,100.5,186.0,231.5,29,2,66.0,8.9,74.0,7.8,103.0,192.0,231.0,98.0,180.0,232.0,,Inbred,
79,1080,30,2,1,1,Inbred,HN,2022,BGEM-0266-S,BGEM_Short_early,0.0,1.0,73.85,7.8,77.0,141.5,169.0,30,2,76.7,8.0,71.0,7.6,79.0,150.0,188.0,75.0,133.0,150.0,,Inbred,
80,1081,31,2,1,1,Inbred,HN,2022,BGEM-0298-S,BGEM_Short_early,0.0,2.0,71.5,9.850000000000001,85.0,171.5,206.0,31,2,71.5,9.4,71.5,10.3,88.0,169.0,202.0,82.0,174.0,210.0,,Inbred,
81,1082,32,2,1,1,Inbred,HN,2022,Mo17,BGEM_Short_early,0.0,2.0,62.5,8.5,76.0,150.5,205.5,32,2,59.0,7.9,66.0,9.1,70.0,140.0,200.0,82.0,161.0,211.0,,Inbred,
82,1083,33,2,1,1,Inbred,HN,2022,BGEM-0203-N,BGEM_Short_early,0.0,1.0,69.75,6.8,68.5,170.5,209.5,33,2,71.5,6.5,68.0,7.1,70.0,171.0,210.0,67.0,170.0,209.0,,Inbred,
83,1084,34,2,1,1,Inbred,HN,2022,BGEM-0184-N,BGEM_Short_early,0.0,1.0,58.25,6.4,62.5,165.0,183.5,34,2,52.0,6.4,64.5,6.4,57.0,171.0,180.0,68.0,159.0,187.0,,Inbred,
84,1085,35,2,1,1,Inbred,HN,2022,BGEM-0123-N,BGEM_Short_early,0.0,1.0,63.15,7.3,93.5,181.0,224.0,35,2,60.5,7.0,65.8,7.6,92.0,188.0,235.0,95.0,174.0,213.0,,Inbred,
85,1086,36,2,1,1,Inbred,HN,2022,BGEM-0037-S,BGEM_Short_early,0.0,2.0,62.0,7.35,59.5,125.5,167.0,36,2,56.0,6.9,68.0,7.8,58.0,120.0,153.0,61.0,131.0,181.0,,Inbred,
86,1087,37,2,1,1,Inbred,HN,2022,BGEM-0117-S,BGEM_Short_early,0.0,1.0,69.0,7.449999999999999,62.0,163.5,209.0,37,2,70.0,7.1,68.0,7.8,56.0,163.0,213.0,68.0,164.0,205.0,,Inbred,
87,1088,38,2,1,1,Inbred,HN,2022,BGEM-0077-S,BGEM_Short_early,0.0,1.0,70.0,6.9,56.0,160.5,198.0,38,2,69.0,7.0,71.0,6.8,55.0,152.0,188.0,57.0,169.0,208.0,,Inbred,
88,1089,39,2,1,1,Inbred,HN,2022,BGEM-0085-N,BGEM_Short_early,0.0,1.0,70.75,6.6,90.5,161.0,192.5,39,2,72.5,6.9,69.0,6.3,94.0,162.0,194.0,87.0,160.0,191.0,,Inbred,
89,1090,40,2,1,1,Inbred,HN,2022,B73,BGEM_Short_early,0.0,1.0,76.5,8.45,89.5,171.0,213.5,40,2,77.0,8.7,76.0,8.2,88.0,172.0,211.0,91.0,170.0,216.0,,Inbred,
90,1091,41,2,1,1,Inbred,HN,2022,BGEM-0326-N,BGEM_Short_early,0.0,1.0,59.0,7.449999999999999,73.0,151.5,184.0,41,2,63.0,7.3,55.0,7.6,68.0,161.0,197.0,78.0,142.0,171.0,,Inbred,
91,1092,42,2,1,1,Inbred,HN,2022,BGEM-0320-N,BGEM_Short_early,0.0,1.0,67.7,6.699999999999999,85.0,160.5,196.0,42,2,73.4,6.8,62.0,6.6,74.0,151.0,192.0,96.0,170.0,200.0,,Inbred,
92,1093,43,2,1,1,Inbred,HN,2022,BGEM-0024-S,BGEM_Short_early,0.0,1.0,81.5,9.7,66.5,158.0,204.0,43,2,78.5,10.0,84.5,9.4,68.0,156.0,202.0,65.0,160.0,206.0,,Inbred,
93,1094,44,2,1,1,Inbred,HN,2022,BGEM-0013-S,BGEM_Short_early,0.0,1.0,75.25,7.949999999999999,79.0,175.5,216.0,44,2,69.5,8.1,81.0,7.8,70.0,171.0,211.0,88.0,180.0,221.0,,Inbred,
94,1095,45,2,1,1,Inbred,HN,2022,BGEM-0194-N,BGEM_Short_early,0.0,1.0,56.5,7.1,67.0,164.0,198.5,45,2,52.0,7.0,61.0,7.2,66.0,167.0,200.0,68.0,161.0,197.0,,Inbred,
95,1096,46,2,1,1,Inbred,HN,2022,BGEM-0012-S,BGEM_Short_early,0.0,1.0,64.7,7.3,60.0,140.5,181.0,46,2,66.0,7.1,63.4,7.5,56.0,140.0,180.0,64.0,141.0,182.0,,Inbred,
96,1097,47,2,1,1,Inbred,HN,2022,BGEM-0023-S,BGEM_Short_early,0.0,1.0,73.8,9.5,73.5,165.5,210.0,47,2,77.6,9.2,70.0,9.8,62.0,171.0,219.0,85.0,160.0,201.0,,Inbred,
97,1098,48,2,1,1,Inbred,HN,2022,Mo17,BGEM_Short_early,0.0,1.0,64.0,8.75,61.0,143.5,186.5,48,2,62.2,8.5,65.8,9.0,60.0,142.0,183.0,62.0,145.0,190.0,,Inbred,
98,1099,49,2,1,1,Inbred,HN,2022,BGEM-0112-S,BGEM_Short_early,0.0,2.0,72.15,7.7,75.0,150.0,197.0,49,2,72.5,8.0,71.8,7.4,80.0,158.0,203.0,70.0,142.0,191.0,,Inbred,
99,1100,50,2,1,1,Inbred,HN,2022,BGEM-0197-S,BGEM_Short_early,0.0,1.0,69.75,7.95,80.0,160.0,198.5,50,2,72.5,7.6,67.0,8.3,80.0,152.0,196.0,80.0,168.0,201.0,,Inbred,
100,1101,1,3,1,1,Inbred,HN,2022,BGEM-0193-N,BGEM_Tall_late,0.0,1.0,72.5,6.15,86.0,150.0,185.0,1,3,76.0,6.2,69.0,6.1,82.0,150.0,185.0,90.0,150.0,185.0,,Inbred,
101,1102,2,3,1,1,Inbred,HN,2022,BGEM-0070-S,BGEM_Tall_late,0.0,1.0,66.15,7.65,48.0,140.0,173.5,2,3,57.8,7.4,74.5,7.9,38.0,127.0,159.0,58.0,153.0,188.0,,Inbred,
