UID,CHL_blups_LN,CHL_blups_HN,CHL_LN,CHL_HN
B183,350.229513858681,413.41974772947,403.585062590013,407.803296639701
B185,313.552292924965,382.977972886803,299.481550166008,368.164361422174
B186,323.129799462831,370.709180309513,326.666054484305,352.188884411325
B187,323.217286143878,360.910990060404,326.914374028573,339.430435518618
B188,306.971515419933,413.701591572015,280.802870721,408.170291989803
B189,330.602036450238,428.637290232115,347.875025509112,427.618408752904
B190,296.970111362173,394.979006841749,252.415188528114,383.791183772122
B191,324.746610580783,376.51719245268,331.255162165315,359.751630613722
B194,306.313944853895,354.744155355086,278.936442353512,331.400458204725
B195,333.566933293751,389.21584615658,356.290498860878,376.286839684817
B197,328.525284634013,397.770305419651,341.980436088264,387.425797853399
B198,321.617680364642,393.814532991373,322.374101459581,382.274895587345
B201,348.397642300327,475.399530343754,398.385533872203,488.508597186126
B202,362.612579150429,431.759538787892,438.732779855083,431.683960412592
B204,317.649207538102,348.612488749896,311.110108450169,323.416274082912
B205,310.920895665823,354.822518730813,292.012671928079,331.502496958704
B206,346.658705039858,436.318243135438,393.44978704921,437.619954198833
B207,326.812740027543,388.624590104807,337.119601374575,375.516951580252
B209,313.050951350508,435.548118887472,298.058557433832,436.617157701838
B210,321.748235619274,397.918975613556,322.744665537956,387.619384732463
B211,332.894311340075,395.999480333037,354.381349090842,385.11996577716
B212,309.494640114749,365.475375790925,287.964431393461,345.37382716431
B214,310.065371613832,390.417961641743,289.584378384889,377.852141908049
B215,308.150149378393,449.335042054312,284.148269631119,454.569427472043
B225,314.85166679655,434.503766689695,303.169653586617,435.257282683843
B226,337.457011440077,453.581179241229,397.380400058178,460.098420369034
B231,335.171884449677,384.936952523582,360.845943585081,356.767328925701
B236,306.840874569493,392.395581227559,280.432063690078,380.427245858204
B238,324.975310090103,385.582414830898,331.904295922009,371.555665182659
B239,310.000430039031,418.633428949552,289.400050186978,414.592150876874
B243,329.540818346434,369.92610160111,344.862896202653,351.169219613426
B246,348.721207666177,389.137512991997,399.30393200124,376.184840269463
B247,342.987581202615,481.556804932887,383.029780400094,496.526126052842
B248,325.40085400328,440.879846934297,333.112146869398,443.55972342732
B251,313.237600604709,341.149718130796,298.588337020698,313.698828807706
B252,289.732403910558,346.082944331549,231.871899030468,320.12249611343
B254,322.559464680258,415.839967188814,325.047233520995,410.954720065469
