,UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,ASD,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
88,B098,BGEM-0116-S,1179.0,29.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,94.6950661182325,56.3461890989292,66.386610020493,123.500000001911,175.999999995546
89,B099,BGEM-0117-S,1087.0,37.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,93.5568987605073,58.2610583527453,67.3805120235991,128.450000001911,173.999999995546
90,B100,BGEM-0118-S,1037.0,37.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,85.0568987605073,52.2360583527453,64.7055120235991,119.725000001911,163.749999995546
91,B102,BGEM-0122-N,1211.0,11.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,92.8950661182324,54.1711890989292,66.636610020493,128.925000001911,173.249999995546
92,B103,BGEM-0123-N,1085.0,35.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,94.9568987605073,63.7610583527453,80.3305120235991,135.150000001911,186.249999995546
93,B104,BGEM-0124-N,1116.0,16.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,100.35098243937,63.7661237258372,81.696061022046,146.675000001911,205.499999995546
94,B105,BGEM-0125-N,1172.0,22.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,101.129403574756,68.7943779519877,78.8711099177028,127.767529515779,186.472707879177
95,B107,BGEM-0129-N,1135.0,35.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,90.5259824393699,52.0411237258372,66.7210610220461,107.850000001911,152.499999995546
96,B109,BGEM-0131-N,1110.0,10.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,92.9509824393699,55.5661237258372,69.921061022046,124.775000001911,160.749999995546
97,B110,BGEM-0133-S,1323.0,23.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,92.4259824393699,62.4161237258372,70.471061022046,124.425000001911,173.499999995546
98,B111,BGEM-0134-S,1071.0,21.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,107.02598243937,67.8161237258372,90.5710610220461,145.050000001911,195.499999995546
99,B112,BGEM-0136-S,1034.0,34.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,80.9009824393699,51.2161237258372,65.671061022046,98.2250000019106,141.999999995546
100,B113,BGEM-0137-S,1128.0,28.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,95.3009824393699,59.6411237258372,62.8210610220461,124.000000001911,169.249999995546
