,UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
13,B014,BGEM-0015-S,2031.0,31.0,1.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,92.8780553337079,52.6763840809688,64.8365564832057,128.652042248314,181.764414215791
14,B016,BGEM-0019-S,2178.0,28.0,4.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,93.2476556338095,51.9212732845853,81.6905992145569,134.483411606155,180.939368366216
15,B018,BGEM-0020-S,2011.0,11.0,1.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,94.7622160187465,51.2112073241257,68.8258802573293,120.712737752563,165.549359532829
16,B019,BGEM-0021-S,2183.0,33.0,4.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,94.2234004260774,52.5085816817725,68.2152224084479,126.127091386141,167.326111848229
17,B021,BGEM-0023-S,2072.0,22.0,2.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,89.5516526327944,51.6066437860922,64.718696111048,114.15085034703,157.838084578117
18,B022,BGEM-0024-S,2068.0,18.0,2.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,87.3192668201813,50.6050732158891,63.9133164018329,106.608971735555,149.381364619973
19,B023,BGEM-0025-S,2277.0,27.0,6.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,0.0,97.8750513910803,53.1797912785579,74.638616308736,138.932100068609,189.808611249147
20,B024,BGEM-0026-S,2173.0,23.0,4.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_late,0.0,80.9473576464313,47.7262133046769,58.8649609052716,89.3681507104431,118.648406723306
21,B025,BGEM-0027-S,2100.0,50.0,2.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,91.9910146134643,52.8127235303159,68.8634548204036,127.830418049693,154.331639717423
22,B026,BGEM-0028-S,2259.0,9.0,6.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_late,0.0,84.1259202273042,50.1698357429736,61.9686192118421,109.662083610139,150.000149007154
23,B027,BGEM-0030-S,2104.0,4.0,3.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,84.9538248995316,49.7608173949325,74.0689575224719,107.410537224286,150.618933394336
24,B028,BGEM-0031-S,2326.0,26.0,7.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,0.0,88.0436834083802,50.4162955167932,70.2581366305532,123.534879667577,163.819666987535
25,B029,BGEM-0032-S,2013.0,13.0,1.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,81.4943660905815,50.3271504922201,51.4593967297147,98.5933168482513,137.005676876349
26,B030,BGEM-0033-S,2150.0,50.0,3.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,92.0057986254684,52.5452884565967,82.9477772714987,126.895741617843,179.908061054247
27,B031,BGEM-0034-S,2316.0,16.0,7.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_late,0.0,86.5339466510664,51.0823266172928,58.7960065568552,108.673549410213,147.994507514209
28,B032,BGEM-0035-S,2208.0,8.0,5.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_late,,86.5549371341472,51.0881848312397,64.6198041138264,115.416917800697,160.282903927243
29,B033,BGEM-0036-S,2210.0,10.0,5.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_late,0.0,80.8143015383947,48.8588794992522,63.4615180541062,104.564979739293,143.606043672948
30,B034,BGEM-0037-S,2061.0,11.0,2.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,84.0520001672839,50.2694684174964,54.4844813647174,101.906937506673,142.780997823373
31,B035,BGEM-0038-N,2093.0,43.0,2.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,85.8408656197752,51.1504310132772,66.2115949533122,109.394411808894,151.237717781517
32,B036,BGEM-0039-N,2014.0,14.0,1.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,86.7438514818746,50.9534459104599,70.7671461348404,118.371784463773,159.229612806125
33,B037,BGEM-0040-N,2109.0,9.0,3.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,85.0646128354092,50.8362816315209,80.473475522396,111.683346495801,153.612060160167
34,B038,BGEM-0041-S,2289.0,39.0,6.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,0.0,91.2961660492735,51.9632238843844,66.8401839588449,122.299616177453,168.151157697804
35,B039,BGEM-0042-S,2324.0,24.0,7.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_late,0.0,86.2843859798971,49.3046046221175,62.2829136687323,105.166153855841,142.780997823373
36,B040,BGEM-0043-S,2045.0,45.0,1.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,99.501292711527,53.2899116030305,74.9136239527804,135.418088038005,181.558152753397
37,B041,BGEM-0044-S,2345.0,45.0,7.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,0.0,91.90231054144,52.1572454084552,79.2155299593954,126.500671975879,171.657602558498
38,B042,BGEM-0045-N,2228.0,28.0,5.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,0.0,94.7112728222114,52.7550414555921,78.5280108263463,133.368382939341,179.289276667066
39,B043,BGEM-0046-N,2246.0,46.0,5.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,0.0,86.4470101119417,50.6417799907133,63.0882933779473,120.463178570782,161.963313825992
40,B044,BGEM-0047-S,2007.0,7.0,1.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,85.3382092116372,50.4634899415672,49.7367657951367,108.004705613416,124.011204745543
41,B045,BGEM-0048-S,2204.0,4.0,5.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_late,0.0,84.5250885514139,50.5526349661402,64.1490372789077,108.212102713016,147.112488533642
42,B046,BGEM-0049-S,2193.0,43.0,4.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,0.0,95.3617693503901,52.8127235303159,76.7797476547083,134.971513916802,180.526845441429
43,B047,BGEM-0050-S,2108.0,8.0,3.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,90.2760692209933,51.0298230388548,65.4847889615411,120.262787198599,163.200882600354
44,B048,BGEM-0051-S,2089.0,39.0,2.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,93.3363597058338,52.6344334811698,73.5385855490536,128.952609733916,173.513955720041
45,B049,BGEM-0052-S,2134.0,34.0,3.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,88.2654435884411,50.7990947399598,65.9955175285365,107.838522123278,149.587626082367
46,B050,BGEM-0055-S,2117.0,17.0,3.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,85.4416972956656,49.9810580438777,61.3596735209798,110.769949259545,152.062763631092
47,B051,BGEM-0056-S,2086.0,36.0,2.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,90.0838770649406,51.5594493613182,61.6543247090757,120.142552375289,158.869391890085
48,B052,BGEM-0057-S,2186.0,36.0,4.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,87.008802568096,49.8394747695558,61.0846659228116,102.447994211566,140.92464466183
49,B053,BGEM-0059-S,2306.0,6.0,7.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_late,0.0,83.2684475310687,49.5772835208115,68.6866641167213,109.707874986977,147.52501145843
50,B054,BGEM-0060-S,2132.0,32.0,3.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,92.8632713217039,52.8494303051401,76.8779646409465,127.2893613448,178.670492279885
51,B055,BGEM-0061-N,2143.0,43.0,3.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,85.7669455597549,51.7220079355397,70.4545707865346,128.278442085903,171.451341096104
52,B056,BGEM-0062-N,2281.0,31.0,6.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,0.0,89.2264043687051,50.0964221933252,70.9849426682005,126.38043715257,172.89517133286
53,B057,BGEM-0063-N,2297.0,47.0,6.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,0.0,95.820073722516,53.2741801281058,76.7208173895634,138.851943519736,189.808611249147
54,B058,BGEM-0064-N,2184.0,34.0,4.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,88.3541476604655,50.2694684174964,88.4675744304572,145.104154331833,158.456868965298
55,B059,BGEM-0065-N,2040.0,40.0,1.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,95.080873122313,53.1640598036332,87.5443342827047,139.50607203053,184.033290302122
56,B060,BGEM-0066-N,2112.0,12.0,3.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,81.2873899225247,48.6753456251312,60.4364334649797,97.0503032824452,134.943062252411
57,B061,BGEM-0067-S,2216.0,16.0,5.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_late,0.0,87.0679386161122,51.3025019375488,61.7328982888911,109.594803181076,149.381364619973
58,B062,BGEM-0068-S,2052.0,2.0,2.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,83.9189440592474,49.9548389190033,58.2167285391921,106.769284833301,147.52501145843
59,B064,BGEM-0069-S,2044.0,44.0,1.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,95.1843612063414,52.7393099806675,74.6582596692827,132.412217455266,178.876753742279
60,B065,BGEM-0070-S,2127.0,27.0,3.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,91.1335419172288,51.9317609345351,68.6277338974526,121.77143559237,167.738634773016
61,B066,BGEM-0071-S,2206.0,6.0,5.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_late,0.0,72.2100065520316,47.5164603056815,59.7292707878791,97.3838055977472,131.02409446693
62,B067,BGEM-0072-S,2179.0,29.0,4.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_late,0.0,87.2157787361528,51.0088477389553,61.948975759543,114.524430936768,162.169575288385
63,B068,BGEM-0073-S,2202.0,2.0,5.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_late,0.0,84.2249935121766,50.9885951941416,60.7372723588042,95.3516038967792,138.865984464527
64,B071,BGEM-0077-S,2063.0,13.0,2.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,85.6191054397143,50.196054867848,56.7434730574746,113.983374231875,152.681548018273
65,B072,BGEM-0078-N,2231.0,31.0,5.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,0.0,88.2802276004452,49.5772835208115,65.5633625872327,124.651358249398,163.819666987535
66,B073,BGEM-0079-S,2023.0,23.0,1.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,89.9212529328959,51.6905449856904,62.2043400889169,118.880086730539,160.725745051629
67,B074,BGEM-0080-S,2015.0,15.0,1.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Short_early,0.0,88.5463398165183,51.4126222620214,61.7132549283444,121.164548373421,160.519483589235
68,B075,BGEM-0081-S,2333.0,33.0,7.0,2.0,1.0,Inbred,LN,2022.0,BGEM_Tall_early,0.0,93.6468239579191,51.6328629109666,76.5243833253344,133.28106337306,179.289276667066
