"genotype","CHL"
"BGEM-0327-N",361.392873157373
"BGEM-0328-S",382.2005168581
"LH109 x LH123",399.19911979047
"LH109 x LH59",444.64070788884
"LH109 X LH59",434.806029870602
"LH123 x LH59",395.222440642179
"LH123 x PHG50",442.002181847851
"LH132 x B73",447.638056071808
"LH74 X LH123",491.109805084216
"Mo17",377.770082885275
"MO17",408.756202617631
"PHB47 x PHK29",491.975988608884
"PHB47 x PHW52",356.329415890539
"PHG47 X PHZ51",461.31809684723
"PHG86 x B73",504.044174834917
"PHG86 x LHB2",481.234268691011
"PHG86 x PHW52",452.574897983263
"PHG89 x PHW52",496.837896865962
"PHJ40 x PHW52",432.461115959498
"PHK29 x PHW52",453.711339087445
"PHZ51 x LH123",319.423052234574
