"genotype","CHL"
"BGEM-0261-S X Mo17",385.915108102744
"BGEM-0262-S",310.863358845143
"BGEM-0262-S X Mo17",367.202969467689
"BGEM-0263-S",387.536567900362
"BGEM-0263-S X Mo17",425.712733036742
"BGEM-0264-S",327.18396379418
"BGEM-0264-S X Mo17",360.25407041269
"BGEM-0266-S",345.469077427982
"BGEM-0268-S",336.020916067712
"BGEM-0269-S",339.664277394102
"BGEM-0270-S",369.213468110034
"BGEM-0272-S",421.226625398089
"BGEM-0276-S",286.220736771012
"BGEM-0277-S",351.564734023996
"BGEM-0278-S",260.072823491538
"BGEM-0279-S",418.135724494717
"BGEM-0280-S",377.858978918739
"BGEM-0281-N",324.718274196798
"BGEM-0282-N",421.495423316885
"BGEM-0283-N",359.912317207957
"BGEM-0284-N",313.874104046015
"BGEM-0285-N",330.429654748945
"BGEM-0286-N",324.562877918541
"BGEM-0287-N",351.729980527138
"BGEM-0288-S",351.99610050673
"BGEM-0289-N",322.774036543424
"BGEM-0290-N",395.741963588731
"BGEM-0291-N",398.542825501547
"BGEM-0292-S",348.016057882843
"BGEM-0293-N",318.356008334213
"BGEM-0294-N",354.780724400825
"BGEM-0295-S",387.744386110155
"BGEM-0296-S",439.777953201272
"BGEM-0297-N",388.335935123163
"BGEM-0298-S",307.139164295098
"BGEM-0299-N",391.140638705174
"BGEM-0300-S",306.143582889006
"BGEM-0301-S",275.997197546753
"BGEM-0302-S",368.000976768036
"BGEM-0303-N",368.38736902285
"BGEM-0304-N",292.306567148326
"BGEM-0305-S",325.072149272105
"BGEM-0306-S",413.032207685375
"BGEM-0307-S",382.359590694736
"BGEM-0308-S",399.680623255875
"BGEM-0309-S",353.37672312432
"BGEM-0310-S",416.281752817791
"BGEM-0311-N",369.907995121116
"BGEM-0312-S",325.415339364519
"BGEM-0313-S",384.78097113273
"BGEM-0314-S",330.146183173114
"BGEM-0315-S",425.310386438403
"BGEM-0316-S",322.625698371036
"BGEM-0317-S",397.397078174469
"BGEM-0318-S",347.257288954728
"BGEM-0319-S",381.869965697097
"BGEM-0320-N",386.303318275428
"BGEM-0321-S",399.278022078864
"BGEM-0322-S",358.863955983393
"BGEM-0323-S",420.814329485519
"BGEM-0324-N",333.075912441543
"BGEM-0325-N",374.916963129174
"BGEM-0326-N",329.848700228235
"BGEM-0327-N",326.333330670516
"BGEM-0328-S",353.773262252247
"LH109 x LH123",325.020733848099
"LH109 x LH59",393.116890587403
"LH109 X LH59",407.920722732307
"LH123 x LH59",361.979004683601
"LH123 x PHG50",413.086301933718
"LH132 x B73",410.356883616977
"LH74 X LH123",437.517136120574
"Mo17",357.825455525397
"MO17",376.524442102544
"PHB47 x PHG86",412.488402236263
"PHB47 x PHK29",407.893137971743
"PHB47 x PHW52",350.978237193805
"PHG47 x LH59",373.175561605276
"PHG47 x PHG50",369.52031270989
"PHG47 x PHZ51",348.063297050583
"PHG47 X PHZ51",354.97150965995
"PHG50 x PHG47",386.371678417913
"PHG50 x PHG51",360.53895325908
"PHG86 x B73",404.543527515267
"PHG86 x LHB2",385.072746185
"PHG86 x PHW52",382.23399356656
"PHG89 x PHW52",398.287965324949
"PHJ40 x PHK29",376.623324575408
"PHJ40 x PHW52",356.439996205987
"PHK29 x PHW52",398.635861023507
"PHZ51 x LH123",311.652298817392
"PHZ51 x PHG35",355.477763814914
