"","male","bands","mean.heterosis","sd.heterosis","se.heterosis","max","min","Trt","Htype"
"79","B73",428,-2.03724109685757,3.00572538240409,0.342534197258136,5.58748293883932,-10.3201103432542,"HN","mid"
"80","B73",429,-2.02047625330312,2.97330794155652,0.338839887011801,5.48250828173307,-10.1977190325699,"HN","mid"
"81","B73",430,-2.00100867856634,2.9657856468069,0.337982641965834,5.57677804477819,-10.1203627658281,"HN","mid"
"82","B73",431,-2.05477919324269,2.98145265502146,0.339768063253364,5.40467682837196,-10.2667264480927,"HN","mid"
"83","B73",432,-2.06643228151414,2.95983667807493,0.337304694059799,5.24458512404488,-10.2423596842578,"HN","mid"
"84","B73",433,-1.9995675633273,2.97009871286429,0.338474161460043,5.55796279646345,-10.073133791216,"HN","mid"
"85","B73",434,-2.11824386787595,3.01347359833433,0.34341718841208,5.53140397095111,-10.4280959888456,"HN","mid"
"86","B73",435,-2.2098856045151,3.02536035558012,0.344771810120045,5.30700056393787,-10.6237038719916,"HN","mid"
"87","B73",436,-2.06425369916597,2.98971431216601,0.340709566464069,5.60013819788619,-10.2355278609001,"HN","mid"
"88","B73",437,-2.03318763715133,3.03303746774656,0.345646698248079,5.6285985547675,-10.3166590704232,"HN","mid"
"89","B73",438,-2.11699019360567,3.10445286566553,0.353785238163019,5.64524619358069,-10.6957266287104,"HN","mid"
"90","B73",439,-2.15393124729344,3.07601820239013,0.350544807544719,5.51998122250207,-10.8375627242795,"HN","mid"
"91","B73",440,-2.13045158265886,2.99680386207039,0.341517495658011,5.39251813385025,-10.5102218815789,"HN","mid"
"92","B73",441,-2.21390707250657,3.09734583532047,0.352975316887979,5.59838862955917,-10.6512283654198,"HN","mid"
"93","B73",442,-2.2588774613825,3.15281906077668,0.359297077639045,5.66962760255216,-10.8728529009354,"HN","mid"
"94","B73",443,-2.23361066572933,3.18815542360204,0.36332402991661,5.82362948754896,-11.1398368443068,"HN","mid"
"95","B73",444,-2.20705638124201,3.23377075756442,0.368522379670361,5.86995610747319,-11.3863756911926,"HN","mid"
"96","B73",445,-2.14327136885553,3.18681327170799,0.363171077513068,5.87664394630089,-11.150089222995,"HN","mid"
"97","B73",446,-2.18386062178359,3.21747263787704,0.36666503655558,5.94931973260624,-11.1564449064437,"HN","mid"
"98","B73",447,-2.23037344692303,3.31587701871489,0.377879256522015,6.05146957302414,-11.4706094999987,"HN","mid"
"99","B73",448,-2.1470853915565,3.26082579493166,0.371605587324869,6.13243914330141,-11.3408925292431,"HN","mid"
"100","B73",449,-2.12665485426883,3.25537128551363,0.370983988287286,6.10071164324661,-11.4550756464579,"HN","mid"
"101","B73",450,-2.16438026212851,3.2947469940389,0.375471266729332,6.03786578905481,-11.5947125344747,"HN","mid"
"102","B73",451,-2.09087006091042,3.25220044490672,0.370622637463861,6.0309112548833,-11.3357840312661,"HN","mid"
"103","B73",452,-2.05714013308036,3.23108171944155,0.368215935335757,6.10927194131508,-11.3124534586656,"HN","mid"
"104","B73",453,-2.07024241653856,3.2803767116205,0.373833621061043,6.17462091208456,-11.5534341198417,"HN","mid"
"105","B73",454,-2.01244774255822,3.31445424282747,0.377717116161711,6.32925798316739,-11.5286415440008,"HN","mid"
"106","B73",455,-2.05763519609978,3.36127572330505,0.38305291906763,6.40211923779323,-11.6447207878088,"HN","mid"
"107","B73",456,-2.06668160131384,3.36410971984388,0.383375882946879,6.41975235558429,-11.630331231862,"HN","mid"
"108","B73",457,-2.05820016530339,3.38334588554819,0.385568047479416,6.47770244732673,-11.8033731112915,"HN","mid"
"109","B73",458,-2.15836997959673,3.46537220431952,0.394915814051458,6.41698588726186,-12.3066554967295,"HN","mid"
"110","B73",459,-2.09902655280953,3.44795852446848,0.392931341057351,6.50262465675877,-12.1274148416293,"HN","mid"
"111","B73",460,-2.07763426787364,3.43379970361092,0.391317793670434,6.50362006927277,-11.9931792459849,"HN","mid"
"112","B73",461,-2.10822768007924,3.47172468624117,0.395639746553199,6.45303964337815,-12.1257206248336,"HN","mid"
"113","B73",462,-2.1415711118969,3.46989704228432,0.395431467194314,6.47784854586155,-12.1067105537256,"HN","mid"
"114","B73",463,-2.17117449814816,3.46961434122646,0.395399250418795,6.55773509742295,-12.20956297377,"HN","mid"
"115","B73",464,-2.10645728322529,3.49060578028298,0.397791446914392,6.70056287652469,-12.1921357457903,"HN","mid"
"116","B73",465,-2.0325009503585,3.47292434181096,0.395776459993486,6.60371296614099,-12.018202551383,"HN","mid"
"117","B73",466,-2.09230160505341,3.46199532073398,0.394530982451414,6.4576549296845,-12.076882644014,"HN","mid"
"118","B73",467,-2.11413188514386,3.49631206199992,0.398441738068296,6.59467708419171,-12.2585447204956,"HN","mid"
"119","B73",468,-2.13154576578149,3.5121368424213,0.400245139167463,6.68163628345476,-12.3358721435323,"HN","mid"
"120","B73",469,-2.10587503985268,3.50344987599555,0.3992551674659,6.65169685984428,-12.2389716129165,"HN","mid"
"121","B73",470,-2.08459829549539,3.524695357845,0.401676314824626,6.6839712618719,-12.1524139379534,"HN","mid"
"122","B73",471,-2.14124882930277,3.53540677807761,0.402896994449036,6.73505076418244,-12.2306290290207,"HN","mid"
"123","B73",472,-2.19249836435123,3.56339220673942,0.406086230031805,6.75774505944132,-12.4032148645139,"HN","mid"
"124","B73",473,-2.11830058189006,3.54109914528108,0.403545699896964,6.67618862657642,-12.3029409169887,"HN","mid"
"125","B73",474,-2.07924881064274,3.52445837193744,0.401649307773987,6.70559981268174,-12.2574084220976,"HN","mid"
"126","B73",475,-2.11343771014499,3.56700599528694,0.406498059457885,6.82913294869714,-12.4921943322161,"HN","mid"
"127","B73",476,-2.13697106420487,3.59611888410897,0.409815781050448,6.87367489945133,-12.6012735523959,"HN","mid"
"128","B73",477,-2.05043486179978,3.54010948639626,0.40343291779995,6.74751386463524,-12.3370763388709,"HN","mid"
"129","B73",478,-2.04149100669629,3.53456315312961,0.402800854463646,6.7709827260634,-12.2893641494626,"HN","mid"
