"bands","Trt","H2"
"X1187","HN",0.123209674121675
"X1188","HN",0.12313024981361
"X1189","HN",0.123174723649425
"X1190","HN",0.123218747736382
"X1191","HN",0.1232404479095
"X1192","HN",0.123303045527311
"X1193","HN",0.123370542235041
"X1194","HN",0.123409313113316
"X1195","HN",0.123450015442008
"X1196","HN",0.123533117895641
"X1197","HN",0.123532790024199
"X1198","HN",0.123532973743912
"X1199","HN",0.1235321958966
"X1200","HN",0.123542703172666
"X1201","HN",0.123553636809142
"X1202","HN",0.123572568836346
"X1203","HN",0.123674202346385
"X1204","HN",0.123650910774636
"X1205","HN",0.123519980591859
"X1206","HN",0.123487698708068
"X1207","HN",0.123438733655532
"X1208","HN",0.123406996004361
"X1209","HN",0.123497044788629
"X1210","HN",0.123500169704427
"X1211","HN",0.123442649921246
"X1212","HN",0.123445051343046
"X1213","HN",0.123500253538709
"X1214","HN",0.12343810524592
"X1215","HN",0.123420953921872
"X1216","HN",0.123446296165006
"X1217","HN",0.123379223535537
"X1218","HN",0.123301979176969
"X1219","HN",0.123277199751269
"X1220","HN",0.123196170246632
"X1221","HN",0.123192406368824
"X1222","HN",0.123294760718054
"X1223","HN",0.123286265312485
"X1224","HN",0.123201781258232
"X1225","HN",0.123212810741803
"X1226","HN",0.123234750624904
"X1227","HN",0.123199271730561
"X1228","HN",0.12323345267322
"X1229","HN",0.12323035790724
"X1230","HN",0.123161372694828
"X1231","HN",0.122988643735772
"X1232","HN",0.122903445595919
"X1233","HN",0.122859512647463
"X1234","HN",0.122830658994718
"X1235","HN",0.122804852577556
"X1236","HN",0.122726162212727
"X1237","HN",0.122659060814585
"X1238","HN",0.122622741053939
"X1239","HN",0.12255951591166
"X1240","HN",0.122572661466143
"X1241","HN",0.122629110573684
"X1242","HN",0.122637211989378
"X1243","HN",0.122650357272024
"X1244","HN",0.122640124519887
"X1245","HN",0.12256733638076
"X1246","HN",0.122539869646853
"X1247","HN",0.122568056353377
"X1248","HN",0.122631624863882
"X1249","HN",0.122660214479717
"X1250","HN",0.122714736961384
"X1251","HN",0.122692584885865
"X1252","HN",0.122596725262629
"X1253","HN",0.122564665361344
"X1254","HN",0.122494814783995
"X1255","HN",0.122407720262712
"X1256","HN",0.122345740829325
"X1257","HN",0.12226516410966
"X1258","HN",0.122188705313019
"X1259","HN",0.122118740994186
"X1260","HN",0.122084913347753
"X1261","HN",0.122016616939024
"X1262","HN",0.121944713296934
