"","genotype","CHL_blups_HN","CHL_blups_LN"
"334","BGEM-0199-S X Mo17",460.03610009421,314.937922241917
"335","BGEM-0200-S",411.408923010403,315.12821642607
"336","BGEM-0200-S X Mo17",452.729730424763,338.567322095703
"337","BGEM-0201-N",392.67909039156,323.548861764203
"338","BGEM-0202-N",400.37681920855,306.959610881726
"339","BGEM-0202-N X B73",479.089854692109,309.85268613732
"340","BGEM-0203-N",372.367987685319,295.895533890084
"341","BGEM-0204-N",398.858002705601,303.905300634173
"342","BGEM-0205-N",423.40609490153,319.638189593927
"343","BGEM-0205-N X B73",483.606155335425,330.504004776439
"344","BGEM-0206-N",417.139193320724,331.377031632339
"345","BGEM-0207-N",459.178440130111,339.336121398109
"346","BGEM-0207-N X B73",507.477187553134,321.05215133735
"347","BGEM-0208-N",445.194302326332,315.469981571477
"348","BGEM-0209-N",388.686208524412,315.887190599977
"349","BGEM-0209-N X B73",438.186363823394,323.15814095862
"350","BGEM-0210-N",450.373503331802,342.097386617236
"351","BGEM-0210-N X B73",511.234757831702,327.689998348264
"352","BGEM-0211-N",380.667093503822,304.179695690134
"353","BGEM-0211-N X B73",423.893043507048,305.599392363136
"354","BGEM-0212-N",376.109389001655,305.630107142374
"355","BGEM-0213-S",360.889975912712,292.459318704987
"356","BGEM-0214-S",437.525492356846,318.44914170557
"357","BGEM-0214-S X Mo17",487.356094132767,307.871926132764
"358","BGEM-0215-N",395.004363273947,324.132729775952
"359","BGEM-0215-N X B73",495.88987145006,317.660576530987
"360","BGEM-0216-N",380.1180740456,316.879789495413
"361","BGEM-0216-N X B73",494.964212098397,293.142195549745
"362","BGEM-0217-S",367.341598354344,331.89085962996
"363","BGEM-0218-S",430.050209850368,345.575148396194
"364","BGEM-0218-S X Mo17",481.676056468759,326.377485976032
"365","BGEM-0219-S",466.736494159296,326.691400704277
"366","BGEM-0219-S X Mo17",473.624267205177,316.946277345401
"367","BGEM-0220-S",413.41974772947,350.229513858681
"368","BGEM-0220-S X Mo17",492.845254411847,329.880951949178
"369","BGEM-0221-S",455.537486560785,349.760196531095
"370","BGEM-0221-S X Mo17",445.573002575555,304.904750479162
"371","BGEM-0222-S",382.977972886803,313.552292924965
"372","BGEM-0222-S X Mo17",469.389727191369,311.528395676694
"373","BGEM-0223-N",370.709180309513,323.129799462831
"374","BGEM-0223-N X B73",461.458564837287,311.591485082202
"375","BGEM-0224-N",360.910990060404,323.217286143878
"376","BGEM-0224-N X B73",438.533237393526,309.565591234485
"377","BGEM-0225-N",413.701591572015,306.971515419933
"378","BGEM-0226-S",428.637290232115,330.602036450238
"379","BGEM-0226-S X Mo17",465.364234755619,298.076650566243
"380","BGEM-0227-N",394.979006841749,296.970111362173
"381","BGEM-0227-N X B73",483.523889629235,332.862890306726
"382","BGEM-0228-N",376.51719245268,324.746610580783
"383","BGEM-0228-N X B73",450.999610375247,315.52747024028
"384","BGEM-0229-N",405.190841317482,291.781036367916
"385","BGEM-0229-N X B73",470.705745061104,322.985188490988
"386","BGEM-0230-N",367.307496717755,318.13905176244
"387","BGEM-0230-N X B73",497.138878772042,296.366930362487
"388","BGEM-0231-N",354.744155355086,306.313944853895
"389","BGEM-0231-N X B73",466.974911576523,296.661686621129
"390","BGEM-0233-S",389.21584615658,333.566933293751
"391","BGEM-0233-S X Mo17",447.847363542846,305.150300019557
"392","BGEM-0235-N",332.630056842861,318.265138997771
"393","BGEM-0235-N X B73",478.881434633604,303.958456687666
"394","BGEM-0236-S",397.770305419651,328.525284634013
"395","BGEM-0236-S X Mo17",469.989592424723,314.130629619795
"396","BGEM-0237-N",393.814532991373,321.617680364642
"397","BGEM-0237-N X B73",454.135273268653,312.980859104053
"398","BGEM-0238-N",376.716391708366,311.217869849441
"399","BGEM-0238-N X B73",486.085566575,303.502687834605
"400","BGEM-0239-N",398.318680170551,297.089156212567
"401","BGEM-0239-N X B73",433.744526588067,299.828640028681
"402","BGEM-0240-N",454.22250362708,348.261329266517
"403","BGEM-0240-N X B73",452.517612360126,342.708957781418
"404","BGEM-0242-N",475.399530343754,348.397642300327
"405","BGEM-0242-N X B73",497.185989780311,305.922324857186
"406","BGEM-0243-S",431.759538787892,362.612579150429
"407","BGEM-0243-S X Mo17",475.340863093653,317.915635602646
"408","BGEM-0244-S",429.713694193511,326.836643860856
"409","BGEM-0244-S X Mo17",475.88507175941,331.594962854398
"410","BGEM-0245-S",409.607417017338,342.783160455207
"411","BGEM-0245-S X Mo17",448.830070403174,335.487087285433
"412","BGEM-0246-N",348.612488749896,317.649207538102
"413","BGEM-0247-N",354.822518730813,310.920895665823
"414","BGEM-0248-N",436.318243135438,346.658705039858
"415","BGEM-0249-N",370.971507415141,319.439583506399
"416","BGEM-0249-N X B73",416.285454693028,313.481230585082
"417","BGEM-0250-S",388.624590104807,326.812740027543
"418","BGEM-0250-S X Mo17",506.680312542082,275.056098024709
"419","BGEM-0251-S",354.744993047635,329.931383548964
"420","BGEM-0251-S X Mo17",501.954760574478,319.397210256225
"421","BGEM-0252-S",435.548118887472,313.050951350508
"422","BGEM-0252-S X Mo17",453.740182015145,311.289913298384
"423","BGEM-0253-N",397.918975613556,321.748235619274
"424","BGEM-0254-S",395.999480333037,332.894311340075
"425","BGEM-0254-S X Mo17",470.308699345843,314.691591233726
"426","BGEM-0255-S",365.475375790925,309.494640114749
"427","BGEM-0255-S X Mo17",469.32707347124,322.607717457051
"428","BGEM-0256-N",363.925578154598,309.753318191232
"429","BGEM-0256-N X B73",444.457802983004,294.743497005097
"430","BGEM-0257-S",390.417961641743,310.065371613832
"431","BGEM-0257-S X Mo17",458.080697134537,306.357670115452
"432","BGEM-0258-S",449.335042054312,308.150149378393
"433","BGEM-0258-S X Mo17",491.478326476901,320.204206607987
"434","BGEM-0259-N",351.945289968976,343.806602904183
"435","BGEM-0260-N",460.879806967348,330.223471585336
"436","BGEM-0261-S",442.438368446059,357.901052263055
"437","BGEM-0261-S X Mo17",491.579112177937,300.43640572878
"438","BGEM-0262-S",376.781593211133,300.216910503039
"439","BGEM-0262-S X Mo17",445.675408953532,312.375795826157
"440","BGEM-0263-S",412.971634365215,337.640694046762
"441","BGEM-0263-S X Mo17",451.908660939013,346.678111693199
"442","BGEM-0264-S",386.257222174571,307.369881275251
"443","BGEM-0264-S X Mo17",402.163039387327,323.375154605254
"444","BGEM-0266-S",396.813780895346,315.411219011658
"445","BGEM-0268-S",382.055219196073,315.524361401811
"446","BGEM-0269-S",378.059830766877,319.924496395985
"447","BGEM-0270-S",434.503766689695,314.85166679655
"448","BGEM-0272-S",453.581179241229,337.457011440077
"449","BGEM-0276-S",365.262732748708,288.137345587895
"450","BGEM-0277-S",385.68539075971,324.811631506428
"451","BGEM-0278-S",316.749704763452,310.275983230665
"452","BGEM-0279-S",492.470878703667,322.730909215431
"453","BGEM-0280-S",384.936952523582,335.171884449677
"454","BGEM-0281-N",396.792130161656,300.79951617197
"455","BGEM-0282-N",474.571262833869,333.309833879173
"456","BGEM-0283-N",394.41541702848,326.688623911923
"457","BGEM-0284-N",374.147695898395,303.546691218098
"458","BGEM-0285-N",392.395581227559,306.840874569493
"459","BGEM-0286-N",409.155873212095,295.018061139257
"460","BGEM-0287-N",385.582414830898,324.975310090103
"461","BGEM-0288-S",418.633428949552,310.000430039031
"462","BGEM-0289-N",364.111507852495,314.422024455604
"463","BGEM-0290-N",455.782635471872,323.782598702967
"464","BGEM-0291-N",410.448035882614,346.553751027919
"465","BGEM-0292-S",369.92610160111,329.540818346434
"466","BGEM-0293-N",381.205724836086,303.466851989871
"467","BGEM-0294-N",413.67898378407,314.235447349773
"468","BGEM-0295-S",389.137512991997,348.721207666177
"469","BGEM-0296-S",481.556804932887,342.987581202615
"470","BGEM-0297-N",440.879846934297,325.40085400328
"471","BGEM-0298-S",346.180970858183,311.630992735637
"472","BGEM-0299-N",428.808495144029,332.914953387998
"473","BGEM-0300-S",341.149718130796,313.237600604709
"474","BGEM-0301-S",346.082944331549,289.732403910558
"475","BGEM-0302-S",415.839967188814,322.559464680258
"476","BGEM-0303-N",414.394053732186,323.495051641699
"477","BGEM-0304-N",320.775651524811,312.83437944255
"478","BGEM-0305-S",361.879971306345,317.065077097082
"479","BGEM-0306-S",447.831867244767,339.613294205754
"480","BGEM-0307-S",448.364684500969,317.756018996672
"481","BGEM-0308-S",471.076422543227,319.541758405313
"482","BGEM-0309-S",395.692247939224,321.497693679489
"483","BGEM-0310-S",467.769999600393,332.756255637571
"484","BGEM-0311-N",408.228179447954,327.395170410746
