"genotype","CHL"
"BGEM-0296-S",383.029780400094
"BGEM-0297-N",333.112146869398
"BGEM-0298-S",294.028189932106
"BGEM-0299-N",354.439938854126
"BGEM-0300-S",298.588337020697
"BGEM-0301-S",231.871899030468
"BGEM-0302-S",325.047233520995
"BGEM-0303-N",327.702775200125
"BGEM-0304-N",297.443846293324
"BGEM-0305-S",309.45213030799
"BGEM-0306-S",373.45230644331
"BGEM-0307-S",311.413278857338
"BGEM-0308-S",316.481867479399
"BGEM-0309-S",322.033534888545
"BGEM-0310-S",353.989495968524
"BGEM-0311-N",338.772754124165
"BGEM-0312-S",322.898171586628
"BGEM-0313-S",393.539972341993
"BGEM-0314-S",244.095755304197
"BGEM-0315-S",372.465381527657
"BGEM-0316-S",316.263066839658
"BGEM-0317-S",350.248491246366
"BGEM-0318-S",286.434203429985
"BGEM-0319-S",336.04979021886
"BGEM-0320-N",364.939070820484
"BGEM-0321-S",304.279198534074
"BGEM-0322-S",318.007863312202
"BGEM-0323-S",422.594264099178
"BGEM-0324-N",320.973394413194
"BGEM-0325-N",315.161135350937
"BGEM-0326-N",309.775551166859
"BGEM-0327-N",291.273788234049
"BGEM-0328-S",325.346007696783
"LH109 x LH123",260.117076320305
"LH109 x LH59",341.593073336355
"LH109 X LH59",367.841032427726
"LH123 x LH59",328.735568775412
"LH123 x PHG50",384.170422069975
"LH132 x B73",373.075711212535
"LH74 X LH123",383.924467207321
"Mo17",329.395856437242
"MO17",343.811497892353
"PHB47 x PHG86",358.036900893832
"PHB47 x PHK29",343.564520214539
"PHB47 x PHW52",304.513884997193
"PHG47 x LH59",318.91288437303
"PHG47 x PHG50",315.068811367459
"PHG47 x PHZ51",293.611795708152
"PHG47 X PHZ51",275.161179330877
"PHG50 x PHG47",332.297825295852
"PHG50 x PHG51",306.653924247204
"PHG86 x B73",326.978739298833
"PHG86 x LHB2",309.177520375385
"PHG86 x PHW52",315.614053133213
"PHG89 x PHW52",321.198534997834
"PHJ40 x PHK29",322.360647343162
"PHJ40 x PHW52",282.571714628745
"PHK29 x PHW52",343.28365743493
"PHZ51 x LH123",303.881545450599
"PHZ51 x PHG35",301.215086582668
