"PLOT.ID","rows","ranges","Block","Rep","Group","Trt","year","genotype","note","Calibration","ASD","leaf_length","leaf_width","ear_height","flag_leaf","plant_height"
"1135","35","3","1","1","Inbred","HN","2022","BGEM-0129-N","BGEM_Short_early","0","1",72.25,9.4,67.5,145.5,183.5
"1136","36","3","1","1","Inbred","HN","2022","BGEM-0219-S","BGEM_Short_early","0","2",75.1,8.85,70,170,215
"1137","37","3","1","1","Inbred","HN","2022","BGEM-0066-N","BGEM_Short_early","0","2",76.15,7.15,67.5,140,181.5
"1138","38","3","1","1","Inbred","HN","2022","BGEM-0253-N","BGEM_Short_early","0","2",77.85,7.3,65,150,181
"1139","39","3","1","1","Inbred","HN","2022","B73","BGEM_Short_early","0","1",76.95,7.95,86.5,180,223
"1140","40","3","1","1","Inbred","HN","2022","BGEM-0094-S","BGEM_Short_early","0","1",70.5,8.4,55,149,180.5
"1141","41","3","1","1","Inbred","HN","2022","BGEM-0286-N","BGEM_Short_early","0","1",71,7.05,85.5,190,230
"1142","42","3","1","1","Inbred","HN","2022","BGEM-0055-S","BGEM_Short_early","0","1",77.1,8.15,68,160,203.5
"1143","43","3","1","1","Inbred","HN","2022","BGEM-0276-S","BGEM_Short_early","0","1",71.85,8.55,125,215,257
"1144","44","3","1","1","Inbred","HN","2022","BGEM-0310-S","BGEM_Short_early","0","2",78.4,8.2,73,191.5,238.5
"1145","45","3","1","1","Inbred","HN","2022","BGEM-0167-S","BGEM_Short_early","0","1",70.1,8.45,67.5,170,210
"1146","46","3","1","1","Inbred","HN","2022","BGEM-0227-N","BGEM_Short_early","0","2",75.55,8.4,75,154.5,200.5
"1147","47","3","1","1","Inbred","HN","2022","Mo17","BGEM_Short_early","0","1",67.9,9.1,75,157.5,207
"1148","48","3","1","1","Inbred","HN","2022","BGEM-0095-S","BGEM_Short_early","0","1",75.4,8.3,74,162,197.5
"1149","49","3","1","1","Inbred","HN","2022","BGEM-0229-N","BGEM_Short_early","0","2",68.1,6.9,62.5,159.5,191
"1150","50","3","1","1","Inbred","HN","2022","BGEM-0319-S","BGEM_Short_early","0","2",73.1,6,77.5,175.5,215.5
"1151","1","4","1","1","Inbred","HN","2022","BGEM-0284-N","BGEM_Tall_late","0","1",77.2,7.45,75,177.5,216.5
"1152","2","4","1","1","Inbred","HN","2022","BGEM-0121-N","BGEM_Tall_late","0","1",74,8.6,100,187.5,240
"1153","3","4","1","1","Inbred","HN","2022","BGEM-0019-S","BGEM_Tall_late","0","1",67.9,8.3,83.5,168.5,204.5
"1154","4","4","1","1","Inbred","HN","2022","BGEM-0072-S","BGEM_Tall_late","0","1",74.7,9.65,58.5,171,217
"1155","5","4","1","1","Inbred","HN","2022","B73","BGEM_Tall_late","0","1",81.85,8.4,82.5,180.5,221.5
"1156","6","4","1","1","Inbred","HN","2022","BGEM-0159-S","BGEM_Tall_late","0","1",83.55,9.45,106.5,184,229
"1157","7","4","1","1","Inbred","HN","2022","BGEM-0208-N","BGEM_Tall_late","0","1",74.95,7.65,NA,NA,278
"1158","8","4","1","1","Inbred","HN","2022","BGEM-0021-S","BGEM_Tall_late","0","2",74,7.5,88,182,230
"1159","9","4","1","1","Inbred","HN","2022","BGEM-0064-N","BGEM_Tall_late","0","2",69.25,5.3,116.5,198.5,234.5
"1160","10","4","1","1","Inbred","HN","2022","BGEM-0277-S","BGEM_Tall_late","0","2",75,9,70,156,196
"1161","11","4","1","1","Inbred","HN","2022","BGEM-0057-S","BGEM_Tall_late","0","1",75.3,9.4,74.5,150,195
"1162","12","4","1","1","Inbred","HN","2022","Mo17","BGEM_Tall_late","0","1",63.35,7.35,79,158.5,197
"1163","13","4","1","1","Inbred","HN","2022","B73","BGEM_Tall_early","0","1",80.7,8.5,87,174,215.5
"1164","14","4","1","1","Inbred","HN","2022","BGEM-0144-N","BGEM_Tall_early","0","1",62,7.55,94,166,205.5
"1165","15","4","1","1","Inbred","HN","2022","BGEM-0236-S","BGEM_Tall_early","0","1",70.75,8.45,103.5,169,219.5
"1166","16","4","1","1","Inbred","HN","2022","BGEM-0171-S","BGEM_Tall_early","0","1",78.35,8.55,79.5,164.5,219.5
"1167","17","4","1","1","Inbred","HN","2022","BGEM-0198-S","BGEM_Tall_early","0","1",78,7.85,84,187,260
"1168","18","4","1","1","Inbred","HN","2022","BGEM-0049-S","BGEM_Tall_early","0","1",80.5,9.95,84,184,228
"1169","19","4","1","1","Inbred","HN","2022","BGEM-0058-N","BGEM_Tall_early","0","1",78.5,8.25,100,191,231.5
"1170","20","4","1","1","Inbred","HN","2022","BGEM-0007-S","BGEM_Tall_early",NA,NA,72.45,8.15,84,186.5,233
"1171","21","4","1","1","Inbred","HN","2022","Mo17","BGEM_Tall_early","0","1",65.75,8.2,83,163.5,214.5
"1172","22","4","1","1","Inbred","HN","2022","BGEM-0125-N","BGEM_Tall_early","0","1",63.5,8.4,93,180,223.5
"1173","23","4","1","1","Inbred","HN","2022","BGEM-0206-N","BGEM_Tall_early","0","1",56.45,7.15,88,160,196
"1174","24","4","1","1","Inbred","HN","2022","BGEM-0092-S","BGEM_Tall_early","0","1",80.55,7.35,97,205,195.5
"1175","25","4","1","1","Inbred","HN","2022","BGEM-0280-S","BGEM_Tall_early","0","2",81.5,10.35,88.5,147.5,222.5
"1176","26","4","1","1","Inbred","HN","2022","BGEM-0150-S","BGEM_Short_early","0","2",70.85,8.55,66.5,139.5,160
"1177","27","4","1","1","Inbred","HN","2022","BGEM-0202-N","BGEM_Short_early","0","1",63.35,6.9,87.5,162.5,194
"1178","28","4","1","1","Inbred","HN","2022","BGEM-0207-N","BGEM_Short_early","0","2",66.75,7.7,88,149.5,199
"1179","29","4","1","1","Inbred","HN","2022","BGEM-0116-S","BGEM_Short_early","0","2",70.45,7.2,71,156,199
"1180","30","4","1","1","Inbred","HN","2022","B73","BGEM_Short_early","0","2",72.8,8.5,97.5,175,215
