"genotype","CHL_LN","CHL_HN"
"BGEM-0270-S",309.426105605659,439.060357867011
"BGEM-0272-S",390.926238016507,466.508528794248
"BGEM-0276-S",239.663916392984,353.200960680172
"BGEM-0277-S",334.958533391378,373.048259609205
"BGEM-0278-S",263.61633879658,278.215594833589
"BGEM-0279-S",333.797853665858,519.060146581364
"BGEM-0280-S",377.755585065897,373.974144349621
"BGEM-0281-N",217.374769970523,381.435184642198
"BGEM-0282-N",356.348213284724,488.884871972535
"BGEM-0283-N",333.382040369847,383.326958370653
"BGEM-0284-N",260.679517090726,348.954836289913
"BGEM-0285-N",282.73974969205,387.12777666216
"BGEM-0286-N",259.686073261301,403.023382410995
"BGEM-0287-N",331.501853211971,364.228400462981
"BGEM-0288-S",291.017116840955,413.065602214082
"BGEM-0289-N",294.385401696017,350.072908111626
"BGEM-0290-N",326.221983949254,458.005127659021
"BGEM-0291-N",388.675019367935,402.68436465629
"BGEM-0292-S",346.006591232743,354.91354255175
"BGEM-0293-N",276.503413351618,360.793227344654
"BGEM-0294-N",303.751256683249,409.404129843288
"BGEM-0295-S",398.055049547967,383.194916015583
"BGEM-0296-S",381.993381591788,491.935040235275
"BGEM-0297-N",340.936180935323,442.235065984584
"BGEM-0298-S",303.378016695631,328.558444375286
"BGEM-0299-N",363.824208992672,428.976030075249
"BGEM-0300-S",304.977587846083,319.898309525992
"BGEM-0301-S",228.038908978536,317.081843735811
"BGEM-0302-S",324.316055414748,409.41852601906
"BGEM-0303-N",334.820215578277,408.030877094421
"BGEM-0304-N",294.727116555585,287.191551963433
"BGEM-0305-S",313.86600725597,336.552446369037
"BGEM-0306-S",369.405791492212,455.089097901247
"BGEM-0307-S",312.438625354015,453.799314380373
"BGEM-0308-S",321.962865790173,481.63104577357
"BGEM-0309-S",326.608122762658,385.822450397545
"BGEM-0310-S",356.431138559527,478.167585206343
"BGEM-0311-N",341.808957075835,415.792069933552
"BGEM-0312-S",325.24370666127,330.700283080339
"BGEM-0313-S",399.25980669748,376.936538895803
"BGEM-0314-S",256.96620028904,428.373877989281
"BGEM-0315-S",376.880397980274,485.043030631021
"BGEM-0316-S",314.985261688504,326.718728046824
"BGEM-0317-S",355.527589147057,451.45673388401
"BGEM-0318-S",285.764729200782,412.531491022364
"BGEM-0319-S",348.708490534354,435.870140857417
"BGEM-0320-N",364.401714850136,403.535586537953
"BGEM-0321-S",305.10126645374,501.365339873067
"BGEM-0322-S",331.1297399101,404.198894078745
"BGEM-0323-S",418.280206338814,416.645247446109
"BGEM-0324-N",320.127585229849,337.849222515616
"BGEM-0325-N",317.956777975232,425.815526121859
"BGEM-0326-N",309.3244258278,355.800928899084
"BGEM-0327-N",290.541292379286,361.954212507291
"BGEM-0328-S",328.639963079219,379.26629109429
"Mo17",345.922833305936,409.459713047955
