"genotype","CHL_LN","CHL_HN"
"BGEM-0247-N",292.012671928079,331.502496958704
"BGEM-0248-N",393.44978704921,437.619954198833
"BGEM-0249-N",316.191857342654,352.53046656938
"BGEM-0249-N X B73",299.279848973974,411.534799591418
"BGEM-0250-S",337.119601374575,375.516951580252
"BGEM-0250-S X Mo17",190.215117157949,529.240023179567
"BGEM-0251-S",345.971464637743,331.40154898346
"BGEM-0251-S X Mo17",316.071586393448,523.086773269566
"BGEM-0252-S",298.058557433832,436.617157701838
"BGEM-0252-S X Mo17",293.060080393552,460.305461538192
"BGEM-0253-N",322.744665537956,387.619384732463
"BGEM-0254-S",354.381349090842,385.11996577716
"BGEM-0254-S X Mo17",302.715299960058,481.879709048936
"BGEM-0255-S",287.964431393461,345.37382716431
"BGEM-0255-S X Mo17",325.184192740384,480.601511419121
"BGEM-0256-N",288.698655406714,343.355800014969
"BGEM-0256-N X B73",246.095233812783,448.218662295335
"BGEM-0257-S",289.584378384889,377.852141908049
"BGEM-0257-S X Mo17",279.060550810857,465.957346111858
"BGEM-0258-S",284.148269631119,454.569427472043
"BGEM-0258-S X Mo17",318.362140382901,527.685902163291
"BGEM-0259-N",385.354466778018,327.755991208434
"BGEM-0260-N",346.800518468685,469.60213140782
"BGEM-0261-S",425.359724717066,445.589110135525
"BGEM-0261-S X Mo17",262.253813414974,509.576402840906
"BGEM-0262-S",261.630804817861,360.095912922817
"BGEM-0262-S X Mo17",296.142216453569,454.206754835575
"BGEM-0263-S",367.85333793012,407.219797920996
"BGEM-0263-S X Mo17",393.504870305951,457.920595817926
"BGEM-0264-S",281.93358029257,372.434347346181
"BGEM-0264-S X Mo17",327.362463085266,393.145677790507
"BGEM-0266-S",304.75786963719,386.180285269167
"BGEM-0268-S",305.079009568708,366.962822617108
"BGEM-0269-S",317.56821939355,361.760335445046
"BGEM-0270-S",303.169653586617,435.257282683843
"BGEM-0272-S",397.380400058178,460.098420369034
"BGEM-0276-S",227.344533824404,345.096939768011
"BGEM-0277-S",331.439715590257,371.689752508128
"BGEM-0278-S",270.261814727646,281.927010174472
"BGEM-0279-S",325.53385649414,510.737592545687
"BGEM-0280-S",360.845943585081,356.767328925701
"BGEM-0281-N",263.28445509315,386.152093350838
"BGEM-0282-N",355.560755673737,487.430091010425
"BGEM-0283-N",336.767313953239,383.057320513067
"BGEM-0284-N",271.081953493106,356.666254649315
"BGEM-0285-N",280.432063690078,380.427245858204
"BGEM-0286-N",246.874548330731,402.251207556741
"BGEM-0287-N",331.904295922009,371.555665182659
"BGEM-0288-S",289.400050186978,414.592150876874
"BGEM-0289-N",301.950169786048,343.597903351192
"BGEM-0290-N",328.518940064942,462.964987162911
"BGEM-0291-N",393.151888762274,403.933762291212
"BGEM-0292-S",344.862896202653,351.169219613426
"BGEM-0293-N",270.855340247172,365.856676471647
"BGEM-0294-N",301.420594982927,408.140853869115
"BGEM-0295-S",399.30393200124,376.184840269463
"BGEM-0296-S",383.029780400094,496.526126052842
